"source","species","collection","subcollection","version","source_version","format","storage_path","checksum","file","n_genesets","n_features","is_current"
"msigdb","Homo sapiens","C1",NA,"2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C1__all.rds","17796de62c8083d8da28bf888b4d49b8","Homo_sapiens__C1__all.rds",302,43321,1
"msigdb","Homo sapiens","C2","CGP","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CGP.rds","0b7a51d12a378fefe1ff0bf28f0d6fc3","Homo_sapiens__C2__CGP.rds",3538,21705,1
"msigdb","Homo sapiens","C2","CP","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP.rds","77e6c3c7f667377483b160eb6a01bf34","Homo_sapiens__C2__CP.rds",19,349,1
"msigdb","Homo sapiens","C2","CP:BIOCARTA","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP_BIOCARTA.rds","ff1cec4774bd9a2f08f9cf6e68cd3c67","Homo_sapiens__C2__CP_BIOCARTA.rds",292,1509,1
"msigdb","Homo sapiens","C2","CP:KEGG_LEGACY","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP_KEGG_LEGACY.rds","9507849ce2984d867c23da2becd3dbf9","Homo_sapiens__C2__CP_KEGG_LEGACY.rds",186,5245,1
"msigdb","Homo sapiens","C2","CP:KEGG_MEDICUS","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP_KEGG_MEDICUS.rds","f0a8a73966eb1600f316dfff287de36a","Homo_sapiens__C2__CP_KEGG_MEDICUS.rds",658,2788,1
"msigdb","Homo sapiens","C2","CP:PID","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP_PID.rds","374296f411a40425772eb4004f20c43a","Homo_sapiens__C2__CP_PID.rds",196,2534,1
"msigdb","Homo sapiens","C2","CP:REACTOME","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP_REACTOME.rds","973e63b2561eedfd82f810eb39f77ecb","Homo_sapiens__C2__CP_REACTOME.rds",1787,11369,1
"msigdb","Homo sapiens","C2","CP:WIKIPATHWAYS","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C2__CP_WIKIPATHWAYS.rds","55bc17bf6f8d2b688bc2a6a24950a7b6","Homo_sapiens__C2__CP_WIKIPATHWAYS.rds",885,9127,1
"msigdb","Homo sapiens","C3","MIR:MIRDB","2026-06-23","msigdbr_25.1.1","rds","/Users/cameronvicnaire/Documents/GitHub/SigRepo_Server/shiny/data/msigdb_genesets/Homo_sapiens__C3__MIR_MIRDB.rds","f8ed03b87a3a1314e98e3cc7de413bb9","Homo_sapiens__C3__MIR_MIRDB.rds",2377,16652,1
