 refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
"Acutumidine","Alkaloids","Alkaloids","Other alkaloids",C18H22ClNO6,383.113567,SBALNGLYQFMKPR-NQTWQHAWSA-N,"COC1=CC(=O)[C@]2([C@H](C[C@@]34C(=C(C(=O)C[C@@]23CCN4)OC)OC)Cl)[C@@H]1O",442840
"Adifoline","Alkaloids","Alkaloids","Other alkaloids",C22H20N2O7,424.127053,DJWXVEDJWPDUBQ-DEALGVFLSA-N,"C[C@@H]1[C@@H]2[C@H](Cc3c4c(cc(C(=O)O)n3)c3cc(ccc3n14)O)C(=CO[C@@H]2O)C(=O)OC",441972
"Adlumine","Alkaloids","Alkaloids","Other alkaloids",C21H21NO6,383.136889,SZDGAZFTAUFFQH-OALUTQOASA-N,"CN1CCc2cc(c(cc2[C@H]1[C@@H]1c2ccc3c(c2C(=O)O1)OCO3)OC)OC",442155
"Affinine","Alkaloids","Alkaloids","Other alkaloids",C20H24N2O2,324.183778,PXFBZOLANLWPMH-SMLHJDAJSA-N,"C/C=C\1/CN(C)[C@@H]2Cc3c4ccccc4[nH]c3C(=O)C[C@H]1C2CO",5281345
"Agroclavine","Alkaloids","Alkaloids","Other alkaloids",C16H18N2,238.146999,XJOOMMHNYOJWCZ-UKRRQHHQSA-N,"CC1=C[C@@H]2c3cccc4c3c(C[C@H]2N(C)C1)c[nH]4",73484
"Ajmaline","Alkaloids","Alkaloids","Other alkaloids",C20H26N2O2,326.199428,CJDRUOGAGYHKKD-HEFSZTOGSA-N,"CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2[C@H]5O)N3[C@@H]1O)c1ccccc1N4C",441080
"Allocryptopine","Alkaloids","Alkaloids","Other alkaloids",C21H23NO5,369.157623,HYBRYAPKQCZIAE-UHFFFAOYSA-N,"CN1CCc2cc3c(cc2C(=O)Cc2ccc(c(c2C1)OC)OC)OCO3",98570
"alpha-Erythroidine","Alkaloids","Alkaloids","Other alkaloids",C16H19NO3,273.136494,IXPDLJKEPLTCOU-FFSVYQOJSA-N,"CO[C@H]1C=CC2=CCN3CC[C@@H]4COC(=O)C=C4[C@]23C1",441076
"alpha-Narcotine","Alkaloids","Alkaloids","Other alkaloids",C22H23NO7,413.147452,AKNNEGZIBPJZJG-MSOLQXFVSA-N,"CN1CCc2cc3c(c(c2[C@@H]1[C@@H]1c2ccc(c(c2C(=O)O1)OC)OC)OC)OCO3",275196
"Alpinine","Alkaloids","Alkaloids","Other alkaloids",C23H29NO6,415.199488,NGGOLDIRUNJLSH-LYLQVHRMSA-N,"CN1CCc2cc(c(cc2C2[C@H]1c1ccc(c(c1[C@@H](OC)O2)OC)OC)OC)OC",118701331
"Amabiline","Alkaloids","Alkaloids","Other alkaloids",C15H25NO4,283.178359,DRVWTOSBCBKXOR-WHOFXGATSA-N,"CC(C)[C@]([C@H](C)O)(C(=O)OCC1=CCN2CCC[C@@H]12)O",442706
"Amalorin","Alkaloids","Alkaloids","Other alkaloids",C14H8N2O2,236.058578,IZNXKZBIIFOWPU-UHFFFAOYSA-N,"c1cc2c(c3cc[nH]c4ccc(=O)n2c34)c(=O)c1",337601
"Anabasine","Alkaloids","Alkaloids","Other alkaloids",C10H14N2,162.115698,MTXSIJUGVMTTMU-UHFFFAOYSA-N,"C1CCNC(C1)c1cccnc1",2181
"Anatoxin A","Alkaloids","Alkaloids","Other alkaloids",C10H15NO,165.115364,SGNXVBOIDPPRJJ-UHFFFAOYSA-N,"CC(=O)C1=CCC[C@@H]2CC[C@H]1N2",431734
"Androcymbine","Alkaloids","Alkaloids","Other alkaloids",C21H25NO5,371.173274,ABMMKLCVJJTPJD-LHSJRXKWSA-N,"CN1CC[C@@]23C=C(C(=O)C=C2[C@@H]1CCc1cc(c(c(c31)OC)O)OC)OC",5462452
"Aphylline","Alkaloids","Alkaloids","Other alkaloids",C15H24N2O,248.188863,YQMWQSMYVPLYDI-ZHZAVPAVSA-N,"C1CCN2C[C@H]3C[C@H](C2C1)C(=O)N1CCCC[C@H]31",118701428
"Apovincamine","Alkaloids","Alkaloids","Other alkaloids",C21H24N2O2,336.183778,OZDNDGXASTWERN-CTNGQTDRSA-N,"CC[C@]12CCCN3CCc4c5ccccc5n(C(=C1)C(=O)OC)c4[C@H]23",71204
"Apparicine","Alkaloids","Alkaloids","Other alkaloids",C18H20N2,264.162649,LCVACABZTLIWCE-DXNYSGJVSA-N,"C/C=C\1/CN2CCC1C(=C)c1c(C2)c2ccccc2[nH]1",5822490
"Arecoline","Alkaloids","Alkaloids","Other alkaloids",C8H13NO2,155.094629,HJJPJSXJAXAIPN-UHFFFAOYSA-N,"CN1CCC=C(C1)C(=O)OC",2230
"Argyrolobine","Alkaloids","Alkaloids","Other alkaloids",C15H22N2O2,262.168128,JHXYFYGGFKMUPN-IENTYSSBSA-N,"C1CCN2C[C@H]3C[C@H](C2C1)C(=O)N1C3=CCCC1O",118701430
"Bonafousine","Alkaloids","Alkaloids","Other alkaloids",C35H40N4O3,564.310041,HLAQOSKRDJCTPZ-BCVSJKHFSA-N,"CC[C@H]1C[C@H]2C[C@]3(c4c(CCN(C2)[C@@H]13)c1ccc(c([C@H]2CC[C@@H]3c5c(CCN3)c3ccccc3n25)c1[nH]4)O)C(=O)OC",441994
