feature_name,organism,gene_symbol,is_current
P31946,homo sapiens,1433B,1
P62258,homo sapiens,1433E,1
Q04917,homo sapiens,1433F,1
P61981,homo sapiens,1433G,1
P31947,homo sapiens,1433S,1
P27348,homo sapiens,1433T,1
P63104,homo sapiens,1433Z,1
Q96QU6,homo sapiens,1A1L1,1
Q4AC99,homo sapiens,1A1L2,1
Q15172,homo sapiens,2A5A,1
Q15173,homo sapiens,2A5B,1
Q14738,homo sapiens,2A5D,1
Q16537,homo sapiens,2A5E,1
Q13362,homo sapiens,2A5G,1
P30153,homo sapiens,2AAA,1
P30154,homo sapiens,2AAB,1
P63151,homo sapiens,2ABA,1
Q00005,homo sapiens,2ABB,1
Q66LE6,homo sapiens,2ABD,1
Q9Y2T4,homo sapiens,2ABG,1
P14060,homo sapiens,3BHS1,1
P26439,homo sapiens,3BHS2,1
Q9H2F3,homo sapiens,3BHS7,1
Q9Y3L3,homo sapiens,3BP1,1
P78314,homo sapiens,3BP2,1
Q7L8J4,homo sapiens,3BP5L,1
O60239,homo sapiens,3BP5,1
P46952,homo sapiens,3HAO,1
P31937,homo sapiens,3HIDH,1
P29372,homo sapiens,3MG,1
Q13541,homo sapiens,4EBP1,1
Q13542,homo sapiens,4EBP2,1
O60516,homo sapiens,4EBP3,1
Q9NRA8,homo sapiens,4ET,1
P08195,homo sapiens,4F2,1
P08908,homo sapiens,5HT1A,1
P28222,homo sapiens,5HT1B,1
P28221,homo sapiens,5HT1D,1
P28566,homo sapiens,5HT1E,1
P30939,homo sapiens,5HT1F,1
P28223,homo sapiens,5HT2A,1
P41595,homo sapiens,5HT2B,1
P28335,homo sapiens,5HT2C,1
P46098,homo sapiens,5HT3A,1
O95264,homo sapiens,5HT3B,1
Q8WXA8,homo sapiens,5HT3C,1
Q70Z44,homo sapiens,5HT3D,1
A5X5Y0,homo sapiens,5HT3E,1
Q13639,homo sapiens,5HT4R,1
P47898,homo sapiens,5HT5A,1
P50406,homo sapiens,5HT6R,1
P34969,homo sapiens,5HT7R,1
Q9Y6E2,homo sapiens,5MP1,1
Q7L1Q6,homo sapiens,5MP2,1
Q9BXI3,homo sapiens,5NT1A,1
Q96P26,homo sapiens,5NT1B,1
Q9H0P0,homo sapiens,5NT3A,1
Q969T7,homo sapiens,5NT3B,1
P49902,homo sapiens,5NTC,1
P21589,homo sapiens,5NTD,1
P52209,homo sapiens,6PGD,1
O95336,homo sapiens,6PGL,1
P05408,homo sapiens,7B2,1
P36639,homo sapiens,8ODP,1
P0DKL9,homo sapiens,A14EL,1
Q8IZ83,homo sapiens,A16A1,1
Q676U5,homo sapiens,A16L1,1
Q8NAA4,homo sapiens,A16L2,1
P02763,homo sapiens,A1AG1,1
P19652,homo sapiens,A1AG2,1
P20848,homo sapiens,A1ATR,1
P01009,homo sapiens,A1AT,1
P04217,homo sapiens,A1BG,1
Q9NQ94,homo sapiens,A1CF,1
Q8NF67,homo sapiens,A2012,1
Q5TYW2,homo sapiens,A20A1,1
Q5SQ80,homo sapiens,A20A2,1
Q5VUR7,homo sapiens,A20A3,1
Q4UJ75,homo sapiens,A20A4,1
A0PJZ0,homo sapiens,A20A5,1
Q96IX9,homo sapiens,A26L1,1
P08697,homo sapiens,A2AP,1
P02750,homo sapiens,A2GL,1
P01023,homo sapiens,A2MG,1
A8K2U0,homo sapiens,A2ML1,1
A7E2S9,homo sapiens,A30BL,1
U3KPV4,homo sapiens,A3LT2,1
Q5T5F5,homo sapiens,A4AS1,1
Q9NPC4,homo sapiens,A4GAT,1
Q9UNA3,homo sapiens,A4GCT,1
P05067,homo sapiens,A4,1
Q96GX2,homo sapiens,A7L3B,1
P30542,homo sapiens,AA1R,1
P29274,homo sapiens,AA2AR,1
P29275,homo sapiens,AA2BR,1
P0DMS8,homo sapiens,AA3R,1
Q9NS82,homo sapiens,AAA1,1
P22760,homo sapiens,AAAD,1
Q9NRG9,homo sapiens,AAAS,1
Q15758,homo sapiens,AAAT,1
Q86V21,homo sapiens,AACS,1
P01011,homo sapiens,AACT,1
Q8N5Z0,homo sapiens,AADAT,1
Q6PD74,homo sapiens,AAGAB,1
Q2M2I8,homo sapiens,AAK1,1
Q9Y478,homo sapiens,AAKB1,1
O43741,homo sapiens,AAKB2,1
P54619,homo sapiens,AAKG1,1
Q9UGJ0,homo sapiens,AAKG2,1
Q9UGI9,homo sapiens,AAKG3,1
Q9H7C9,homo sapiens,AAMDC,1
Q13685,homo sapiens,AAMP,1
Q13131,homo sapiens,AAPK1,1
P54646,homo sapiens,AAPK2,1
Q9Y312,homo sapiens,AAR2,1
Q4LEZ3,homo sapiens,AARD,1
P86434,homo sapiens,AAS1,1
Q9BTE6,homo sapiens,AASD1,1
Q9UDR5,homo sapiens,AASS,1
Q8NHS2,homo sapiens,AATC2,1
P17174,homo sapiens,AATC,1
Q9NY61,homo sapiens,AATF,1
P00505,homo sapiens,AATM,1
Q7Z5M8,homo sapiens,AB12B,1
Q96GS6,homo sapiens,AB17A,1
Q5VST6,homo sapiens,AB17B,1
Q6PCB6,homo sapiens,AB17C,1
Q7Z5R6,homo sapiens,AB1IP,1
P31941,homo sapiens,ABC3A,1
Q9UH17,homo sapiens,ABC3B,1
Q9NRW3,homo sapiens,ABC3C,1
Q96AK3,homo sapiens,ABC3D,1
Q8IUX4,homo sapiens,ABC3F,1
Q9HC16,homo sapiens,ABC3G,1
Q6NTF7,homo sapiens,ABC3H,1
O95477,homo sapiens,ABCA1,1
Q9BZC7,homo sapiens,ABCA2,1
Q99758,homo sapiens,ABCA3,1
P78363,homo sapiens,ABCA4,1
Q8WWZ7,homo sapiens,ABCA5,1
Q8N139,homo sapiens,ABCA6,1
Q8IZY2,homo sapiens,ABCA7,1
O94911,homo sapiens,ABCA8,1
Q8IUA7,homo sapiens,ABCA9,1
Q8WWZ4,homo sapiens,ABCAA,1
Q86UK0,homo sapiens,ABCAC,1
Q86UQ4,homo sapiens,ABCAD,1
Q2M3G0,homo sapiens,ABCB5,1
Q9NP58,homo sapiens,ABCB6,1
O75027,homo sapiens,ABCB7,1
Q9NP78,homo sapiens,ABCB9,1
Q9NRK6,homo sapiens,ABCBA,1
O95342,homo sapiens,ABCBB,1
Q09428,homo sapiens,ABCC8,1
O60706,homo sapiens,ABCC9,1
P33897,homo sapiens,ABCD1,1
Q9UBJ2,homo sapiens,ABCD2,1
P28288,homo sapiens,ABCD3,1
O14678,homo sapiens,ABCD4,1
