feature_name,organism,gene_symbol,is_current
A0A024QYR9,mus musculus,Pten,1
A0A068EW80,mus musculus,Pml,1
A0A075F891,mus musculus,Hsf1,1
A0A087WPF7,mus musculus,Auts2,1
A0A087WPT2,mus musculus,Ptgs2,1
A0A087WQ41,mus musculus,Kcnma1,1
A0A087WRT4,mus musculus,Fat1,1
A0A088MLT8,mus musculus,Iqcj-Schip1,1
A0A0A6YXR0,mus musculus,Cept1,1
A0A0B4J1E2,mus musculus,Snw1,1
A0A0B4J1F4,mus musculus,Arrdc4,1
A0A0B4J1G0,mus musculus,Fcgr4,1
A0A0B4J1N3,mus musculus,Gpr15lg,1
A0A0G2JDK2,mus musculus,Gba1,1
A0A0G2JDV3,mus musculus,Gbp6,1
A0A0N4SVP8,mus musculus,Eif4a3l2,1
A0A0R4IZW4,mus musculus,Pdgfb,1
A0A0R4IZW5,mus musculus,Cdh1,1
A0A0R4IZY3,mus musculus,Fgfr4,1
A0A0R4J008,mus musculus,Hdac2,1
A0A0R4J049,mus musculus,Prmt5,1
A0A0R4J083,mus musculus,Acadl,1
A0A0R4J093,mus musculus,Cmpk1,1
A0A0R4J097,mus musculus,Tgfbr3,1
A0A0R4J0A9,mus musculus,Lrp6,1
A0A0R4J0B3,mus musculus,Ulk1,1
A0A0R4J0B6,mus musculus,Abcg2,1
A0A0R4J0I9,mus musculus,Lrp1,1
A0A0R4J0N8,mus musculus,Cxcr4,1
A0A0R4J136,mus musculus,Srd5a1,1
A0A0R4J187,mus musculus,Xrcc6,1
A0A0R4J1F2,mus musculus,Psen2,1
A0A0R4J1Q7,mus musculus,Enpp1,1
A0A0R4J210,mus musculus,Tnf,1
A0A0U1RNJ1,mus musculus,Fasn,1
A0A0U1RNR0,mus musculus,Lipe,1
A0A0U1RPR8,mus musculus,Gucy2d,1
A0A0U1RPX4,mus musculus,Mapk3,1
A0A0U1RPZ0,mus musculus,Mapk3,1
A0A0U5J4W4,mus musculus,Tnf,1
A0A140LHL5,mus musculus,Sirt2,1
A0A140LI88,mus musculus,Ankrd31,1
A0A140LIF8,mus musculus,Irgm2,1
A0A1B0GQX2,mus musculus,Tunar,1
A0A1B0GR13,mus musculus,Cylc1,1
A0A1B0GST2,mus musculus,Aadat,1
A0A1D5RLD8,mus musculus,Gapdhrt2,1
A0A1D9BZF0,mus musculus,Gcna,1
A0A1V0DNR6,mus musculus,Pten,1
A0A1W2P6X2,mus musculus,Enpp3,1
A0A1W2P872,mus musculus,Nova2,1
A0A1Y7VMN0,mus musculus,Rock2,1
A0A1Y7VMP7,mus musculus,Mlh3,1
A0A286YCF7,mus musculus,Mak,1
A0A286YDC0,mus musculus,Cdk7,1
A0A286YE25,mus musculus,Spast,1
A0A2I3BQ46,mus musculus,Adcy8,1
A0A2I3BQZ9,mus musculus,App,1
A0A2R3XZC4,mus musculus,Sting1,1
A0A2R8VJU7,mus musculus,Septin12,1
A0A3B2WC92,mus musculus,Spast,1
A0A3Q4EC00,mus musculus,Eci1,1
A0A3Q4EC76,mus musculus,Eci1,1
A0A3Q4EGR2,mus musculus,Rock1,1
A0A452J888,mus musculus,Abhd3,1
A0A452J8A5,mus musculus,Eci1,1
A0A494B9X3,mus musculus,Nt5c2,1
A0A494BA31,mus musculus,Slc4a9,1
A0A494BA94,mus musculus,Nme4,1
A0A494BAW1,mus musculus,Duox2,1
A0A494BBP6,mus musculus,Nt5c2,1
A0A571BEE2,mus musculus,Cylc2,1
A0A5F8MPH8,mus musculus,Tnxb,1
A0A5F8MPI9,mus musculus,Rapgef1,1
A0A5F8MPU3,mus musculus,Catspert,1
A0A5K1VVQ9,mus musculus,Ttn,1
A0A5K7RLP0,mus musculus,Meiosin,1
A0A654ICB8,mus musculus,Gja5,1
A0A668KL90,mus musculus,Dgkz,1
