"species","gs_collection","gs_subcollection","file","genesets","genes"
"Homo sapiens","C1","","Homo_sapiens__C1__all.rds",302,43321
"Homo sapiens","C2","CGP","Homo_sapiens__C2__CGP.rds",3538,21705
"Homo sapiens","C2","CP","Homo_sapiens__C2__CP.rds",19,349
"Homo sapiens","C2","CP:BIOCARTA","Homo_sapiens__C2__CP_BIOCARTA.rds",292,1509
"Homo sapiens","C2","CP:KEGG_LEGACY","Homo_sapiens__C2__CP_KEGG_LEGACY.rds",186,5245
"Homo sapiens","C2","CP:KEGG_MEDICUS","Homo_sapiens__C2__CP_KEGG_MEDICUS.rds",658,2788
"Homo sapiens","C2","CP:PID","Homo_sapiens__C2__CP_PID.rds",196,2534
"Homo sapiens","C2","CP:REACTOME","Homo_sapiens__C2__CP_REACTOME.rds",1787,11369
"Homo sapiens","C2","CP:WIKIPATHWAYS","Homo_sapiens__C2__CP_WIKIPATHWAYS.rds",885,9127
"Homo sapiens","C3","MIR:MIRDB","Homo_sapiens__C3__MIR_MIRDB.rds",2377,16652
"Homo sapiens","C3","MIR:MIR_LEGACY","Homo_sapiens__C3__MIR_MIR_LEGACY.rds",221,7450
"Homo sapiens","C3","TFT:GTRD","Homo_sapiens__C3__TFT_GTRD.rds",505,26928
"Homo sapiens","C3","TFT:TFT_LEGACY","Homo_sapiens__C3__TFT_TFT_LEGACY.rds",610,12779
"Homo sapiens","C4","3CA","Homo_sapiens__C4__3CA.rds",148,2992
"Homo sapiens","C4","CGN","Homo_sapiens__C4__CGN.rds",427,4883
"Homo sapiens","C4","CM","Homo_sapiens__C4__CM.rds",431,8359
"Homo sapiens","C5","GO:BP","Homo_sapiens__C5__GO_BP.rds",7583,18000
"Homo sapiens","C5","GO:CC","Homo_sapiens__C5__GO_CC.rds",1042,14869
"Homo sapiens","C5","GO:MF","Homo_sapiens__C5__GO_MF.rds",1855,15699
"Homo sapiens","C5","HPO","Homo_sapiens__C5__HPO.rds",5748,5112
"Homo sapiens","C6","","Homo_sapiens__C6__all.rds",189,10927
"Homo sapiens","C7","IMMUNESIGDB","Homo_sapiens__C7__IMMUNESIGDB.rds",4872,20440
"Homo sapiens","C7","VAX","Homo_sapiens__C7__VAX.rds",347,13431
"Homo sapiens","C8","","Homo_sapiens__C8__all.rds",866,20533
"Homo sapiens","H","","Homo_sapiens__H__all.rds",50,4384
"Mus musculus","C1","","Mus_musculus__C1__all.rds",297,17961
"Mus musculus","C2","CGP","Mus_musculus__C2__CGP.rds",3537,17514
"Mus musculus","C2","CP","Mus_musculus__C2__CP.rds",19,350
"Mus musculus","C2","CP:BIOCARTA","Mus_musculus__C2__CP_BIOCARTA.rds",292,1513
"Mus musculus","C2","CP:KEGG_LEGACY","Mus_musculus__C2__CP_KEGG_LEGACY.rds",186,5032
"Mus musculus","C2","CP:KEGG_MEDICUS","Mus_musculus__C2__CP_KEGG_MEDICUS.rds",658,2718
"Mus musculus","C2","CP:PID","Mus_musculus__C2__CP_PID.rds",196,2546
"Mus musculus","C2","CP:REACTOME","Mus_musculus__C2__CP_REACTOME.rds",1787,10688
"Mus musculus","C2","CP:WIKIPATHWAYS","Mus_musculus__C2__CP_WIKIPATHWAYS.rds",885,8516
"Mus musculus","C3","MIR:MIRDB","Mus_musculus__C3__MIR_MIRDB.rds",2377,15499
"Mus musculus","C3","MIR:MIR_LEGACY","Mus_musculus__C3__MIR_MIR_LEGACY.rds",221,7303
"Mus musculus","C3","TFT:GTRD","Mus_musculus__C3__TFT_GTRD.rds",502,16143
"Mus musculus","C3","TFT:TFT_LEGACY","Mus_musculus__C3__TFT_TFT_LEGACY.rds",610,12357
"Mus musculus","C4","3CA","Mus_musculus__C4__3CA.rds",148,2875
"Mus musculus","C4","CGN","Mus_musculus__C4__CGN.rds",427,4751
"Mus musculus","C4","CM","Mus_musculus__C4__CM.rds",431,8079
"Mus musculus","C5","GO:BP","Mus_musculus__C5__GO_BP.rds",7580,15844
"Mus musculus","C5","GO:CC","Mus_musculus__C5__GO_CC.rds",1042,13330
"Mus musculus","C5","GO:MF","Mus_musculus__C5__GO_MF.rds",1852,14226
"Mus musculus","C5","HPO","Mus_musculus__C5__HPO.rds",5748,5027
"Mus musculus","C6","","Mus_musculus__C6__all.rds",189,10255
"Mus musculus","C7","IMMUNESIGDB","Mus_musculus__C7__IMMUNESIGDB.rds",4872,17329
"Mus musculus","C7","VAX","Mus_musculus__C7__VAX.rds",346,11828
"Mus musculus","C8","","Mus_musculus__C8__all.rds",866,15683
"Mus musculus","H","","Mus_musculus__H__all.rds",50,4393
