"mgi_symbol" "synonyms" "n_synonyms" "ensemble_ids" "n_ensembl_ids" "transcript_biotypes" "chromosome_name" "start_position" "end_position" "mgi_description"
"1" "0610005C13Rik" "" 0 "ENSMUSG00000109644" 1 "lncRNA" "7" "45217213" "45224751" "RIKEN cDNA 0610005C13 gene"
"2" "0610006L08Rik" "" 0 "ENSMUSG00000108652" 1 "lncRNA" "7" "74468566" "74503561" "RIKEN cDNA 0610006L08 gene"
"3" "0610009E02Rik" "" 0 "ENSMUSG00000086714" 1 "lncRNA" "2" "26335708" "26349408" "RIKEN cDNA 0610009E02 gene"
"4" "0610009L18Rik" "" 0 "ENSMUSG00000043644" 1 "lncRNA" "11" "120239504" "120242036" "RIKEN cDNA 0610009L18 gene"
"5" "0610010K14Rik" "" 0 "ENSMUSG00000020831" 1 "protein_coding /// protein_coding_CDS_not_defined /// nonsense_mediated_decay /// retained_intron" "11" "70126032" "70128740" "RIKEN cDNA 0610010K14 gene"
"6" "0610012D04Rik" "" 0 "ENSMUSG00000089755" 1 "lncRNA" "17" "87669667" "87671890" "RIKEN cDNA 0610012D04 gene"
"7" "0610025J13Rik" "" 0 "ENSMUSG00000046683" 1 "lncRNA" "4" "98209635" "98220028" "RIKEN cDNA 0610025J13 gene"
"8" "0610030E20Rik" "" 0 "ENSMUSG00000058706" 1 "retained_intron /// protein_coding" "6" "72324300" "72330131" "RIKEN cDNA 0610030E20 gene"
"9" "0610031O16Rik" "" 0 "ENSMUSG00000099146" 1 "lncRNA" "3" "137916477" "137946166" "RIKEN cDNA 0610031O16 gene"
"10" "0610033M10Rik" "" 0 "ENSMUSG00000108236" 1 "lncRNA" "6" "51377946" "51379199" "RIKEN cDNA 0610033M10 gene"
"11" "0610038B21Rik" "" 0 "ENSMUSG00000097882" 1 "lncRNA" "8" "78243685" "78250527" "RIKEN cDNA 0610038B21 gene"
"12" "0610039K10Rik" "" 0 "ENSMUSG00000058812" 1 "lncRNA" "2" "163486770" "163487721" "RIKEN cDNA 0610039K10 gene"
"13" "0610040B10Rik" "" 0 "ENSMUSG00000089889" 1 "lncRNA" "5" "143315002" "143318459" "RIKEN cDNA 0610040B10 gene"
"14" "0610040F04Rik" "" 0 "ENSMUSG00000087341" 1 "lncRNA" "6" "108554000" "108637895" "RIKEN cDNA 0610040F04 gene"
"15" "0610040J01Rik" "" 0 "ENSMUSG00000060512" 1 "protein_coding" "5" "63969706" "64056968" "RIKEN cDNA 0610040J01 gene"
"16" "0610043K17Rik" "" 0 "ENSMUSG00000087361" 1 "lncRNA" "4" "101210980" "101256378" "RIKEN cDNA 0610043K17 gene"
"17" "0710001A04Rik" "" 0 "ENSMUSG00000114511" 1 "lncRNA" "18" "25846827" "25852204" "RIKEN cDNA 0710001A04 gene"
"18" "1010001B22Rik" "" 0 "ENSMUSG00000097863" 1 "lncRNA" "5" "110143377" "110144264" "RIKEN cDNA 1010001B22 gene"
"19" "1100001I12Rik" "" 0 "ENSMUSG00000115547" 1 "lncRNA" "15" "38641187" "38660083" "RIKEN cDNA 1100001I12 gene"
"20" "1110002E22Rik" "" 0 "ENSMUSG00000090066" 1 "protein_coding /// protein_coding_CDS_not_defined" "3" "137770813" "137787267" "RIKEN cDNA 1110002E22 gene"
"21" "1110002J07Rik" "" 0 "ENSMUSG00000097134" 1 "lncRNA" "10" "66748268" "66756037" "RIKEN cDNA 1110002J07 gene"
"22" "1110002L01Rik" "" 0 "ENSMUSG00000071456" 1 "lncRNA" "12" "3453878" "3477553" "RIKEN cDNA 1110002L01 gene"
"23" "1110002O04Rik" "" 0 "ENSMUSG00000102531" 1 "lncRNA" "1" "35918926" "35920200" "RIKEN cDNA 1110002O04 gene"
"24" "1110003F10Rik" "" 0 "ENSMUSG00000106291" 1 "TEC" "5" "65563094" "65563860" "RIKEN cDNA 1110003F10 gene"
"25" "1110004F10Rik" "sid2057" 1 "ENSMUSG00000030663" 1 "protein_coding /// nonsense_mediated_decay" "7" "115638632" "115704445" "RIKEN cDNA 1110004F10 gene"
"26" "1110006O24Rik" "" 0 "ENSMUSG00000107121" 1 "lncRNA" "5" "115769103" "115769877" "RIKEN cDNA 1110006O24 gene"
"27" "1110008E08Rik" "" 0 "ENSMUSG00000046119" 1 "lncRNA" "16" "90351052" "90351774" "RIKEN cDNA 1110008E08 gene"
"28" "1110013H19Rik" "" 0 "ENSMUSG00000116164" 1 "lncRNA" "15" "100511054" "100511724" "RIKEN cDNA 1110013H19 gene"
"29" "1110015O18Rik" "" 0 "ENSMUSG00000098659" 1 "lncRNA" "3" "4862388" "4879971" "RIKEN cDNA 1110015O18 gene"
"30" "1110017D15Rik" "Cbe1 /// Smrp1" 2 "ENSMUSG00000028441" 1 "protein_coding_CDS_not_defined /// protein_coding" "4" "41505009" "41517333" "RIKEN cDNA 1110017D15 gene"
"31" "1110018N20Rik" "" 0 "ENSMUSG00000085151" 1 "lncRNA" "2" "167030622" "167034728" "RIKEN cDNA 1110018N20 gene"
"32" "1110019B22Rik" "" 0 "ENSMUSG00000112289" 1 "lncRNA" "10" "95554995" "95558362" "RIKEN cDNA 1110019B22 gene"
"33" "1110019D14Rik" "" 0 "ENSMUSG00000097616" 1 "lncRNA" "6" "13871522" "14044384" "RIKEN cDNA 1110019D14 gene"
"34" "1110020A21Rik" "" 0 "ENSMUSG00000097047" 1 "lncRNA" "17" "85224610" "85265138" "RIKEN cDNA 1110020A21 gene"
"35" "1110025L11Rik" "" 0 "ENSMUSG00000068073" 1 "protein_coding" "16" "88860300" "88860890" "RIKEN cDNA 1110025L11 gene"
"36" "1110025M09Rik" "" 0 "ENSMUSG00000103520" 1 "TEC" "15" "81468375" "81469229" "RIKEN cDNA 1110025M09 gene"
"37" "1110028F11Rik" "" 0 "ENSMUSG00000085972" 1 "lncRNA" "11" "87592222" "87596157" "RIKEN cDNA 1110028F11 gene"
"38" "1110028F18Rik" "" 0 "ENSMUSG00000099139" 1 "lncRNA" "8" "107313775" "107321452" "RIKEN cDNA 1110028F18 gene"
"39" "1110032F04Rik" "" 0 "ENSMUSG00000046999" 1 "protein_coding" "3" "68776919" "68779496" "RIKEN cDNA 1110032F04 gene"
"40" "1110035H17Rik" "" 0 "ENSMUSG00000099098" 1 "lncRNA" "7" "28855105" "28856345" "RIKEN cDNA 1110035H17 gene"
"41" "1110038B12Rik" "" 0 "ENSMUSG00000092203" 1 "lncRNA /// retained_intron" "17" "35167235" "35171498" "RIKEN cDNA 1110038B12 gene"
"42" "1110038F14Rik" "" 0 "ENSMUSG00000063236" 1 "protein_coding /// retained_intron" "15" "76832706" "76835179" "RIKEN cDNA 1110038F14 gene"
"43" "1110046J04Rik" "" 0 "ENSMUSG00000085457" 1 "lncRNA" "13" "34119550" "34144174" "RIKEN cDNA 1110046J04 gene"
"44" "1110057P08Rik" "" 0 "ENSMUSG00000068067" 1 "protein_coding" "16" "88971623" "88972087" "RIKEN cDNA 1110057P08 gene"
"45" "1110059E24Rik" "" 0 "ENSMUSG00000035171" 1 "protein_coding /// nonsense_mediated_decay /// protein_coding_CDS_not_defined /// retained_intron" "19" "21558566" "21630340" "RIKEN cDNA 1110059E24 gene"
"46" "1110059G10Rik" "" 0 "ENSMUSG00000032551" 1 "protein_coding /// retained_intron" "9" "122774154" "122780065" "RIKEN cDNA 1110059G10 gene"
"47" "1110060G06Rik" "" 0 "ENSMUSG00000105036" 1 "TEC" "5" "20933392" "20933890" "RIKEN cDNA 1110060G06 gene"
"48" "1110065P20Rik" "" 0 "ENSMUSG00000078570" 1 "retained_intron /// protein_coding" "4" "124742873" "124744989" "RIKEN cDNA 1110065P20 gene"
"49" "1190001M18Rik" "" 0 "ENSMUSG00000111857" 1 "lncRNA" "11" "82865142" "82866411" "RIKEN cDNA 1190001M18 gene"
"50" "1190005I06Rik" "" 0 "ENSMUSG00000043687" 1 "protein_coding /// nonsense_mediated_decay" "8" "121335341" "121374371" "RIKEN cDNA 1190005I06 gene"
"51" "1190028D05Rik" "" 0 "ENSMUSG00000110013" 1 "lncRNA" "8" "52809646" "52856374" "RIKEN cDNA 1190028D05 gene"
"52" "1200007C13Rik" "" 0 "ENSMUSG00000087684" 1 "lncRNA" "2" "167669613" "167675566" "RIKEN cDNA 1200007C13 gene"
"53" "1300002E11Rik" "" 0 "ENSMUSG00000097290" 1 "lncRNA" "16" "21613068" "21627790" "RIKEN cDNA 1300002E11 gene"
"54" "1300014J16Rik" "" 0 "ENSMUSG00000112545" 1 "lncRNA" "12" "80162579" "80165374" "RIKEN cDNA 1300014J16 gene"
"55" "1500002C15Rik" "" 0 "ENSMUSG00000096221" 1 "lncRNA" "4" "155817002" "155819184" "RIKEN cDNA 1500002C15 gene"
"56" "1500002F19Rik" "BC002195" 1 "ENSMUSG00000097595" 1 "lncRNA" "7" "132476468" "132532926" "RIKEN cDNA 1500002F19 gene"
"57" "1500004A13Rik" "" 0 "ENSMUSG00000098912" 1 "lncRNA /// retained_intron" "3" "88690250" "88739884" "RIKEN cDNA 1500004A13 gene"
